scraped_at_utc,source,bank,rate_category,loan_type,lock_in_years,benchmark,rate_as_of,year_1,year_2,year_3,year_4,year_5,year_6,note,property_type,source_url
2026-07-23T03:03:37+00:00,dollarback,Maybank,fixed,2 Year Fixed,2,,,1.45,1.45,2.5,2.5,2.5,2.5,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,HSBC,fixed,2 Year Fixed,2,,,1.45,1.45,2.0,2.0,2.0,2.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,CIMB,fixed,2 Year Fixed,2,,,1.45,1.45,1.7,2.0,2.0,2.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,Bank of China,fixed,2 Year Fixed,2,,,1.55,1.55,1.6,2.0,2.0,2.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,Bank of China,fixed,3 Year Fixed,3,,,1.55,1.6,1.6,2.0,2.0,2.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,Maybank,floating,1-month SORA,,1-month SORA,,+0.3,+0.35,+0.65,+1.0,+1.0,+1.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,dollarback,DBS,floating,FHR6,,FHR6,,+0.55,+0.55,+0.7,+1.0,+1.0,+1.0,,private,https://dollarbackmortgage.com/new-private-property-loan/
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-13,1.0926,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-16,1.0887,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-17,1.0851,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
